school_code,school_name,city,state,degree_type,board_pass_rate_first_time_2yr,board_pass_rate_ultimate_2yr,graduates_tested,program_length_months,tuition_per_year,tuition_instate,tuition_is_oos,total_program_cost,total_program_cost_instate,cost_source_url
1513,Trine University,,Indiana,DPT,95.9,100.0,73.0,33.0,42705.0,,,117984.0,,https://www.trine.edu/academics/majors-degrees/graduate/doctor-physical-therapy/2025-dpt-student-financial-fact-sheet.pdf
1514,Indiana State University,,Indiana,DPT,94.0,100.0,50.0,,37240.0,,,112842.0,,https://indianastate.edu/media/3139/download?inline
1516,Hanover College,,Indiana,DPT,53.4,83.54,163.0,24.0,48000.0,,,106174.0,,https://dptprogram.hanover.edu/wp-content/uploads/2023/11/Hanover-DPT-Financial-Fact-Sheet-AY23_24.pdf
1517,Indiana Wesleyan University,,Indiana,DPT,68.4,,19.0,33.0,33864.0,,,106362.0,,https://www.indwes.edu/program/doctor-of-physical-therapy/
1601,University of lowa,,Iowa,DPT,97.8,100.0,90.0,36.0,,,,,,
1602,Des Moines University - Osteopathic Medical Center,,Iowa,DPT,88.2,100.0,102.0,,,,,,,
1605,St Ambrose University,,Iowa,DPT,96.9,100.0,65.0,,,,,,,
1608,Clarke University,,Iowa,DPT,100.0,100.0,51.0,36.0,37247.0,,,109940.0,,https://clarke.edu/wp-content/uploads/2025/12/Clarke-University-2024-2025-DPT-Student-Financial-Fact-Sheet-1-1.pdf
1612,Briar Cliff University,,Iowa,DPT,76.8,96.43,56.0,30.0,33000.0,,,104030.0,,https://www.briarcliff.edu/filesimages/Current%20Chargers/Academics/Graduate%20Programs/Doctor%20of%20Physical%20Therapy/2025-dpt-student-financial-fact-sheet.pdf
1613,Allen College,,Iowa,DPT,46.2,100.0,13.0,36.0,31358.0,,0.0,117731.0,,https://www.allencollege.edu/filesimages/PagePDFs/Fin%20Aid/DPT%20Financial%20Fact%20Sheet.pdf
1701,University of Kansas Medical Center,,Kansas,DPT,79.7,99.15,118.0,36.0,45948.0,,,137843.0,,https://www.kumc.edu/school-of-health-professions/academics/departments/physical-therapy-rehabilitation-science-and-athletic-training/academics/doctor-of-physical-therapy-on-campus-pathway/costs-and-financial-aid.html
1702,Wichita State University,,Kansas,DPT,94.0,100.0,83.0,30.0,,,,,,https://www.wichita.edu/pt
1710,University of Saint Mary,,Kansas,DPT,91.4,100.0,70.0,29.0,,,,,,http://www.stmary.edu/dpt
1801,University of Kentucky,,Kentucky,DPT,92.7,100.0,123.0,36.0,47595.0,22225.0,1.0,149007.0,66675.0,https://chs.uky.edu/sites/default/files/2024-08/2023-2024-dpt-student-financial-fact-sheet.pdf
1808,Bellarmine University,,Kentucky,DPT,81.6,99.29,141.0,36.0,44000.0,,,134235.0,,https://www.bellarmine.edu/docs/default-source/pt-docs/dpt-student-financial-fact-sheet.pdf?sfvrsn=c56e4180_2
