state,program_type,school,pass_rate
Texas,OTA Level Program,Austin Community College,100
Texas,OTA Level Program,"Dallas College, Mountain View Campus",80
Texas,OTA Level Program,Del Mar College,81
Texas,OTA Level Program,Houston Community College,76
Texas,OTA Level Program,"Lone Star College, Kingwood",95
Texas,OTA Level Program,"Lone Star College, Tomball",84
Texas,OTA Level Program,McLennan Community College,100
Texas,OTA Level Program,Medical Education and Training Campus/Uniformed Services University,80
Texas,OTA Level Program,Navarro College,89
Texas,OTA Level Program,Panola College,53
Texas,OTA Level Program,Parker University,50
Texas,OTA Level Program,"Pima Medical Institute, El Paso",92
Texas,OTA Level Program,"Pima Medical Institute, Houston",81
Texas,OTA Level Program,"San Jacinto College, South Campus",100
Texas,OTA Level Program,South Texas College,100
Texas,OTA Level Program,St. Philip’s College,100
Texas,OTA Level Program,Tyler Junior College,92
Texas,OTA Level Program,Weatherford College,69
Utah,OT Masters-Level Programs,University of Utah,97
Utah,OTA Level Program,Joyce University of Nursing and Health Sciences,96
Utah,OTA Level Program,Salt Lake Community College,100
Virginia,OT Doctoral-Level Programs,"Emory and Henry University, Marion Campus",100
Virginia,OT Doctoral-Level Programs,Mary Baldwin University,100
Virginia,OT Doctoral-Level Programs,Shenandoah University,97
Virginia,OT Doctoral-Level Programs,Virginia Commonwealth University,98
Virginia,OT Masters-Level Programs,James Madison University,100
Virginia,OT Masters-Level Programs,Radford University,96
Virginia,OT Masters-Level Programs,Shenandoah University,100
Virginia,OT Masters-Level Programs,"Shenandoah University, Scholar Plaza Campus",92
Virginia,OTA Level Program,Eastern Virginia Career College,75
Virginia,OTA Level Program,Northern Virginia Community College,93
Virginia,OTA Level Program,Radford University Carilion,100
Virginia,OTA Level Program,"South University, Richmond",100
Virginia,OTA Level Program,"South University, Virginia Beach",0
Virginia,OTA Level Program,Southwest Virginia Community College,77
Virginia,OTA Level Program,"Tidewater Community College, Virginia Beach Campus",80
Washington,OT Doctoral-Level Programs,University of Puget Sound,100
Washington,OT Masters-Level Programs,Eastern Washington University,94
Washington,OT Masters-Level Programs,University of Puget Sound,93
Washington,OT Masters-Level Programs,University of Washington,100
Washington,OTA Level Program,Bates Technical College,60
Washington,OTA Level Program,Green River College,100
Washington,OTA Level Program,Lake Washington Institute of Technology,92
Washington,OTA Level Program,"Pima Medical Institute, Renton",83
Washington,OTA Level Program,Spokane Falls Community College,100
West Virginia,OT Doctoral-Level Programs,West Virginia University,100
West Virginia,OT Masters-Level Programs,West Virginia University,85
West Virginia,OTA Level Program,"University of Charleston, Beckley",91
Wisconsin,OT Doctoral-Level Programs,Concordia University Wisconsin,100
Wisconsin,OT Doctoral-Level Programs,Marquette University,100
